scope,model,feature,coef,std_err,p_value
pooled_all_modes,ols,const,2.823767890968469,0.21742381758562254,1.7674961371590021e-16
pooled_all_modes,ols,memory_access_density,-0.9253328317879861,0.3913662739356378,0.02264640280560706
pooled_all_modes,ols,hostcall_density,3.268102617956777,0.41537118423939684,7.299407196374112e-10
pooled_all_modes,ols,ir_instruction_count,0.6882234168467447,0.3144509392543488,0.034100853015953204
pooled_all_modes,ols,compute_to_memory_ratio,-0.1616428973634202,0.4231614116643886,0.7043510799851431
pooled_all_modes,ols,max_loop_depth,1.1249831030502773,0.41995785756890025,0.010425360088646201
pooled_all_modes,ols,branch_density,-0.35223894094292263,0.3568947330734853,0.3291860527278818
pooled_all_modes,ols,call_instr_count,-0.02575765424024344,0.3835550791224602,0.9467695688627362
pooled_all_modes,ols,load_store_ratio,-0.6515620259630348,0.34055835571467696,0.06239370867028369
pooled_all_modes,rlm_huber,const,2.5674779324773294,0.1573434886785537,7.391211469309876e-60
pooled_all_modes,rlm_huber,memory_access_density,-1.3970890561700209,0.28322074175663703,8.103308371169714e-07
pooled_all_modes,rlm_huber,hostcall_density,2.9446163539327497,0.3005924187630984,1.1708237544525116e-22
pooled_all_modes,rlm_huber,ir_instruction_count,0.6257129181752505,0.22755928191281524,0.005965531947065779
pooled_all_modes,rlm_huber,compute_to_memory_ratio,-0.15320548996310146,0.3062299867823649,0.6168670093179862
pooled_all_modes,rlm_huber,max_loop_depth,0.45740441866480896,0.3039116649758954,0.13230938910650195
pooled_all_modes,rlm_huber,branch_density,-0.218008511595962,0.2582746592179085,0.39861596859918946
pooled_all_modes,rlm_huber,call_instr_count,0.17966981330094117,0.2775680002295079,0.5174376925414246
pooled_all_modes,rlm_huber,load_store_ratio,-0.6198620397276602,0.24645248336547693,0.011898575354965316
pooled_all_modes,ols_winsor_y,const,2.653889704415197,0.1970374176463334,4.996342668835744e-17
pooled_all_modes,ols_winsor_y,memory_access_density,-0.8641767989229263,0.35467043503537876,0.019042414904096014
pooled_all_modes,ols_winsor_y,hostcall_density,2.35079550337968,0.37642456293915316,1.6086145597478596e-07
pooled_all_modes,ols_winsor_y,ir_instruction_count,0.6505066636744574,0.28496694490584656,0.02745029959125094
pooled_all_modes,ols_winsor_y,compute_to_memory_ratio,-0.21214215905192113,0.3834843520263977,0.5829938798868863
pooled_all_modes,ols_winsor_y,max_loop_depth,1.0320149742588485,0.3805811741074617,0.00958385835082909
pooled_all_modes,ols_winsor_y,branch_density,-0.4594082997270096,0.323431063612357,0.16269588834426393
pooled_all_modes,ols_winsor_y,call_instr_count,-0.0718475404829526,0.34759164453389724,0.8372190557875665
pooled_all_modes,ols_winsor_y,load_store_ratio,-0.5341787806736269,0.3086264408059894,0.09065387767113019
mode_wasm-aot,ols_wasm_aot,const,2.752671888133731,0.3288874260492558,1.9626973143883017e-07
mode_wasm-aot,ols_wasm_aot,memory_access_density,-0.8965770568155266,0.5920025133699578,0.1482746530692605
mode_wasm-aot,ols_wasm_aot,hostcall_density,3.016877216037556,0.6283136831857378,0.00016631591930090582
mode_wasm-aot,ols_wasm_aot,ir_instruction_count,0.6789615012215916,0.4756560765906281,0.1715699358229573
mode_wasm-aot,ols_wasm_aot,compute_to_memory_ratio,-0.16550519193080937,0.6400976168623451,0.7990773991247384
mode_wasm-aot,ols_wasm_aot,max_loop_depth,1.0520736766791066,0.6352517417766509,0.11603120266355757
mode_wasm-aot,ols_wasm_aot,branch_density,-0.36187878850122207,0.5398589328183909,0.5116572944877338
mode_wasm-aot,ols_wasm_aot,call_instr_count,-0.054023000194084736,0.5801868632493651,0.9269022704607672
mode_wasm-aot,ols_wasm_aot,load_store_ratio,-0.6056838487545031,0.5151476148028662,0.25589942855028375
mode_wasm-aot,rlm_huber_wasm_aot,const,2.5114379051918783,0.22947516265955897,7.078642505833701e-28
mode_wasm-aot,rlm_huber_wasm_aot,memory_access_density,-1.3745364218115228,0.4130588836500343,0.0008756582360594884
mode_wasm-aot,rlm_huber_wasm_aot,hostcall_density,2.819628848843397,0.4383943356614683,1.2616945367302915e-10
mode_wasm-aot,rlm_huber_wasm_aot,ir_instruction_count,0.6037929043251422,0.3318802936822979,0.0688642555519672
mode_wasm-aot,rlm_huber_wasm_aot,compute_to_memory_ratio,-0.14630919454228986,0.4466163590136287,0.7432180580053114
mode_wasm-aot,rlm_huber_wasm_aot,max_loop_depth,0.3763386273439707,0.4432352386501186,0.39584123368623714
mode_wasm-aot,rlm_huber_wasm_aot,branch_density,-0.1901634429617432,0.37667665775450676,0.6136674909054878
mode_wasm-aot,rlm_huber_wasm_aot,call_instr_count,0.17597336467345948,0.4048147307314445,0.6637794788836846
mode_wasm-aot,rlm_huber_wasm_aot,load_store_ratio,-0.5901784530286078,0.35943478934602785,0.10059777140106048
mode_wasm-aot,ols_winsor_y_wasm_aot,const,2.4730832371391567,0.28594232585490914,1.2423949938564596e-07
mode_wasm-aot,ols_winsor_y_wasm_aot,memory_access_density,-0.7968099457291502,0.5147006610085655,0.14001132378240153
mode_wasm-aot,ols_winsor_y_wasm_aot,hostcall_density,1.5007923073292688,0.5462704308728645,0.013744325723544474
mode_wasm-aot,ols_winsor_y_wasm_aot,ir_instruction_count,0.6169585503134527,0.41354638114676795,0.15405667529046627
mode_wasm-aot,ols_winsor_y_wasm_aot,compute_to_memory_ratio,-0.24821051125956822,0.5565156550326489,0.6612197682378943
mode_wasm-aot,ols_winsor_y_wasm_aot,max_loop_depth,0.8968104276325585,0.5523025392883022,0.12282129455949045
mode_wasm-aot,ols_winsor_y_wasm_aot,branch_density,-0.5406446437533605,0.46936582750512584,0.26532001705091596
mode_wasm-aot,ols_winsor_y_wasm_aot,call_instr_count,-0.13113537232239375,0.5044278618396969,0.7980104297764429
mode_wasm-aot,ols_winsor_y_wasm_aot,load_store_ratio,-0.41287638793896053,0.4478812367648243,0.36950862533713125
mode_wasm-jit,ols_wasm_jit,const,2.8948638938032056,0.35255687737134445,2.5557927836420007e-07
mode_wasm-jit,ols_wasm_jit,memory_access_density,-0.954088606760448,0.6346078961329517,0.1510780639016883
mode_wasm-jit,ols_wasm_jit,hostcall_density,3.519328019876008,0.673532317165803,6.859702686170659e-05
mode_wasm-jit,ols_wasm_jit,ir_instruction_count,0.6974853324719003,0.5098882103214915,0.18914915010941208
mode_wasm-jit,ols_wasm_jit,compute_to_memory_ratio,-0.15778060279602713,0.6861643198850359,0.8208779697926747
mode_wasm-jit,ols_wasm_jit,max_loop_depth,1.1978925294214458,0.6809696956670578,0.09654514729570682
mode_wasm-jit,ols_wasm_jit,branch_density,-0.34259909338462236,0.5787116335270702,0.5616400313304377
mode_wasm-jit,ols_wasm_jit,call_instr_count,0.0025076917136016563,0.6219418943928771,0.9968298476581392
mode_wasm-jit,ols_wasm_jit,load_store_ratio,-0.6974402031715707,0.5522218852872611,0.2236482709562838
mode_wasm-jit,rlm_huber_wasm_jit,const,2.633880663533187,0.23999431398407087,5.053833473567307e-28
mode_wasm-jit,rlm_huber_wasm_jit,memory_access_density,-1.488983065419287,0.43199352063946217,0.0005673276637912384
mode_wasm-jit,rlm_huber_wasm_jit,hostcall_density,3.277695014776098,0.4584903508606093,8.748527144172324e-13
mode_wasm-jit,rlm_huber_wasm_jit,ir_instruction_count,0.6504316485183945,0.34709370061665445,0.06093914054580778
mode_wasm-jit,rlm_huber_wasm_jit,compute_to_memory_ratio,-0.12395281404950809,0.4670892721168072,0.7907222446969233
mode_wasm-jit,rlm_huber_wasm_jit,max_loop_depth,0.4319619792895312,0.46355316105043426,0.35141408826528
mode_wasm-jit,rlm_huber_wasm_jit,branch_density,-0.19565585457205556,0.3939435319443265,0.6194290849578096
mode_wasm-jit,rlm_huber_wasm_jit,call_instr_count,0.2153149149340327,0.4233714553965581,0.6110521814166435
mode_wasm-jit,rlm_huber_wasm_jit,load_store_ratio,-0.6839689533717961,0.37591129554654507,0.06883585140945839
mode_wasm-jit,ols_winsor_y_wasm_jit,const,2.556717176665974,0.29942717845107814,1.4863752576479492e-07
mode_wasm-jit,ols_winsor_y_wasm_jit,memory_access_density,-0.8327396649639806,0.5389736066947284,0.14074621737128615
